filename,distance_km,elevation_gain,elevation_loss,max_elevation,min_elevation,max_slope,mean_slope,pct_over_30,pct_over_40,pct_over_45,mean_aspect,rugosity_mean,exposed_pct,difficulty
3 Passes Trail,444.96,26924.0,29071.0,5606.0,1977.0,86.87,8.77,0.13,0.09,0.08,229.67,11.98,0.0,alpinismo ligero
A vueltas con Gredos,21.02,346.0,1099.0,1569.0,816.0,69.44,4.53,0.05,0.02,0.01,89.47,6.17,0.0,moderado
Acequias del Poqueira,17.16,2344.0,2410.0,2150.0,1471.0,84.16,8.31,0.13,0.12,0.1,204.1,11.42,0.0,alpinismo ligero
ADT - Colorado C - Q - Seg 4,371.73,21153.0,19626.0,4033.0,1606.0,85.5,7.08,0.05,0.02,0.01,243.17,8.62,0.0,alpinismo ligero
Aiguillette des Houches,10.16,1506.0,1426.0,2266.0,1472.0,87.9,5.88,0.09,0.08,0.07,232.85,8.07,0.0,alta montaña
Almanzor por el Camino del TÃ­o Domingo,8.17,1789.0,491.0,2523.0,1193.0,84.81,8.78,0.14,0.11,0.09,25.35,11.67,0.0,alpinismo ligero
Alta Via n. 1 della Valle d'Aosta - Tappa 17,29.02,2289.0,3064.0,2046.0,1203.0,83.92,7.7,0.12,0.09,0.08,26.11,10.73,0.0,alpinismo ligero
Alternativa Ruta del Cares,3.06,311.0,169.0,746.0,569.0,84.07,6.73,0.07,0.07,0.05,173.64,9.46,0.0,difícil
Alto de Guajara,5.36,787.0,744.0,2704.0,2355.0,87.33,6.31,0.1,0.08,0.08,286.25,8.68,0.0,alta montaña
AndalucÃ­a - South Route (Provincia de Granada),447.28,28058.0,27741.0,2052.0,497.0,84.53,6.13,0.08,0.05,0.04,57.65,8.39,0.0,alta montaña
Aran Pirineos. Camino de Santiago,244.88,17759.0,17751.0,2465.0,328.0,87.2,6.17,0.08,0.06,0.04,199.7,8.44,0.0,alta montaña
ArbÃºcies - Santa Fe de Montseny,8.83,1266.0,444.0,1149.0,314.0,82.44,6.63,0.1,0.08,0.06,219.82,9.09,0.0,difícil
Area pic-nic Plan Veny - Rifugio Monzino,3.83,821.0,128.0,2595.0,1569.0,81.99,6.45,0.1,0.09,0.09,304.62,8.83,0.0,alta montaña
Arenas Negras,27.9,763.0,763.0,2295.0,2042.0,86.51,3.69,0.05,0.03,0.02,14.23,5.04,0.0,difícil
Ars-Refugi Ras de Conques,4.48,687.0,347.0,1863.0,1396.0,71.11,11.25,0.12,0.07,0.06,284.71,14.01,0.0,difícil
Autour de Saint-Lizier,4.92,313.0,313.0,511.0,412.0,83.11,5.48,0.07,0.05,0.03,73.91,7.49,0.0,difícil
Bajo los picos,10.04,1194.0,1245.0,984.0,567.0,84.7,7.67,0.12,0.1,0.09,294.79,10.68,0.0,alta montaña
Balade au fil de l'Arize,0.93,78.0,57.0,239.0,195.0,80.38,7.38,0.12,0.08,0.06,190.83,10.28,0.0,difícil
Balade au fil de lâ€™eau,10.04,182.0,185.0,220.0,192.0,36.77,2.28,0.01,0.0,0.0,219.18,3.09,0.0,sendero fácil
Balade d'altitude Beille-Piparlan,4.14,269.0,264.0,1884.0,1714.0,80.8,5.81,0.07,0.04,0.03,97.98,8.15,0.0,difícil
Balade des abris,2.33,37.0,58.0,214.0,192.0,50.37,2.74,0.02,0.01,0.01,115.08,3.73,0.0,sendero fácil
Balade des coteaux,5.0,214.0,306.0,314.0,195.0,76.19,4.68,0.05,0.04,0.04,303.94,6.76,0.0,moderado
Balade du Pech de Montgailhard,7.17,713.0,695.0,881.0,455.0,79.53,7.11,0.1,0.06,0.05,329.52,9.74,0.0,difícil
Balade du Saint-Sauveur de Foix,1.67,60.0,264.0,596.0,383.0,78.61,5.4,0.08,0.06,0.05,136.22,7.61,0.0,difícil
Ballade de la chapelle Saint-Barthelemy,4.42,547.0,463.0,1255.0,875.0,64.74,10.91,0.16,0.08,0.06,351.57,13.48,0.0,difícil
Bassa d'Oles,1.76,134.0,134.0,1686.0,1601.0,59.42,7.83,0.09,0.06,0.06,357.42,10.02,0.0,moderado
Benasque â€“ Cerler,4.95,631.0,257.0,1529.0,1131.0,77.35,7.59,0.13,0.08,0.08,128.85,10.1,0.0,difícil
Benasque â€“ Ermita de San JosÃ© â€“ Eriste,3.21,180.0,238.0,1151.0,1081.0,78.33,7.82,0.12,0.08,0.06,230.16,10.96,0.0,difícil
