filename,distance_km,elevation_gain,elevation_loss,max_elevation,min_elevation,max_slope,mean_slope,pct_over_30,pct_over_40,pct_over_45,mean_aspect,rugosity_mean,exposed_pct,difficulty
Aran Pirineos. Camino de Santiago,244.86,17759.0,17751.0,2465.0,328.0,87.2,6.17,0.08,0.06,0.04,199.7,8.44,0.0,alta montaña
Ars-Refugi Ras de Conques,4.48,687.0,347.0,1863.0,1396.0,71.11,11.25,0.12,0.07,0.06,284.71,14.01,0.0,difícil
Autour de Saint-Lizier,4.92,313.0,313.0,511.0,412.0,83.11,5.48,0.07,0.05,0.03,73.91,7.49,0.0,difícil
Balade au fil de l'Arize,0.93,78.0,57.0,239.0,195.0,80.38,7.38,0.12,0.08,0.06,190.83,10.28,0.0,difícil
Balade au fil de lâ€™eau,10.04,182.0,185.0,220.0,192.0,36.77,2.28,0.01,0.0,0.0,219.18,3.09,0.0,sendero fácil
Balade d'altitude Beille-Piparlan,4.14,269.0,264.0,1884.0,1714.0,80.8,5.81,0.07,0.04,0.03,97.98,8.15,0.0,difícil
Balade des abris,2.33,37.0,58.0,214.0,192.0,50.37,2.74,0.02,0.01,0.01,115.08,3.73,0.0,sendero fácil
Balade des coteaux,5.0,214.0,306.0,314.0,195.0,76.19,4.68,0.05,0.04,0.04,303.94,6.76,0.0,moderado
Balade du Pech de Montgailhard,7.17,713.0,695.0,881.0,455.0,79.53,7.11,0.1,0.06,0.05,329.52,9.74,0.0,difícil
Balade du Saint-Sauveur de Foix,1.67,60.0,264.0,596.0,383.0,78.61,5.4,0.08,0.06,0.05,136.22,7.61,0.0,difícil
Ballade de la chapelle Saint-Barthelemy,4.42,547.0,463.0,1255.0,875.0,64.74,10.91,0.16,0.08,0.06,351.57,13.48,0.0,difícil
Bassa d'Oles,1.76,134.0,134.0,1686.0,1601.0,59.42,7.83,0.09,0.06,0.06,357.42,10.02,0.0,moderado
Benasque â€“ Cerler,4.95,631.0,257.0,1529.0,1131.0,77.35,7.59,0.13,0.08,0.08,128.85,10.1,0.0,difícil
Benasque â€“ Ermita de San JosÃ© â€“ Eriste,3.21,180.0,238.0,1151.0,1081.0,78.33,7.82,0.12,0.08,0.06,230.16,10.96,0.0,difícil
Betesa - Santorens - Pallerol - Betesa,10.51,698.0,796.0,1153.0,884.0,63.73,7.47,0.09,0.05,0.04,205.3,10.15,0.0,moderado
Bois du Chapitre,5.11,261.0,173.0,343.0,218.0,64.82,5.41,0.02,0.02,0.02,91.77,7.11,0.0,moderado
Borda de Mateu,18.44,1938.0,1938.0,1394.0,668.0,84.68,6.77,0.1,0.08,0.07,289.17,9.5,0.0,difícil
Bordes de BossÃ²st,10.58,1450.0,1463.0,1183.0,689.0,83.3,7.79,0.11,0.1,0.09,246.18,10.71,0.0,alta montaña
